Day,MaxTemperature (° F),AvgTemperature (° F),MinTemperature (° F),Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min
1,32,26,19,25,21,18,100,-,64,7,-,2,30.33,-,30.21,-,0,-
2,48,32,15,26,18,9,93,-,20,11,-,0,30.37,-,30.24,-,0,-
3,48,32,15,27,19,14,93,-,27,9,-,0,30.27,-,30.12,-,0,-
4,42,28,15,30,23,14,100,-,49,7,-,0,30.4,-,30.27,-,0,-
5,39,32,24,30,26,19,100,-,41,9,-,0,30.51,-,30.39,-,0,-
6,42,32,21,28,24,19,93,-,38,4,-,0,30.42,-,30.27,-,0,-
7,39,34,30,34,29,25,100,-,44,7,-,0,30.28,-,30.21,-,0.01,-
8,44,38,31,32,16,9,93,-,21,25,-,2,30.27,-,30.09,-,0,-
9,41,34,24,19,10,5,74,-,14,20,-,2,30.39,-,30.21,-,0,-
10,40,30,17,16,2,-4,64,-,6,20,-,0,30.48,-,30.27,-,0,-
11,44,28,12,14,8,3,79,-,14,22,-,0,30.39,-,30.18,-,0,-
12,44,30,15,16,10,5,79,-,13,18,-,0,30.24,-,30.04,-,0,-
13,37,30,24,5,-5,-17,36,-,5,27,-,2,30.42,-,30.15,-,0,-
14,37,26,15,19,-2,-11,80,-,4,11,-,2,30.63,-,30.42,-,0,-
15,32,26,19,19,18,14,86,-,41,9,-,2,30.63,-,30.42,-,0,-
16,32,29,26,23,20,17,80,-,44,4,-,0,30.54,-,30.45,-,0,-
17,37,28,19,23,20,14,86,-,38,7,-,0,30.54,-,30.36,-,0,-
18,35,26,17,15,5,0,80,-,13,13,-,2,30.58,-,30.42,-,0,-
19,31,24,17,23,4,-13,93,-,8,36,-,2,30.63,-,30.33,-,0,-
20,32,20,8,0,-5,-10,52,-,8,18,-,0,30.63,-,30.39,-,0,-
21,33,22,10,3,-5,-13,67,-,6,27,-,0,30.6,-,30.33,-,0,-
22,32,21,10,3,-4,-9,58,-,10,11,-,0,30.64,-,30.51,-,0,-
23,32,19,6,6,1,-4,67,-,11,9,-,0,30.63,-,30.51,-,0,-
24,37,22,8,12,6,0,85,-,15,7,-,0,30.69,-,30.57,-,0,-
25,37,26,14,18,13,7,80,-,26,4,-,0,30.57,-,30.33,-,0,-
26,48,34,21,21,12,0,86,-,10,40,-,0,30.52,-,30.12,-,0,-
27,39,26,14,9,4,0,57,-,10,22,-,0,30.54,-,30.27,-,0,-
28,35,27,19,21,14,6,86,-,29,4,-,0,30.24,-,30.09,-,0,-
29,33,28,23,22,-1,-12,80,-,7,29,-,4,30.66,-,30.18,-,0,-
30,34,20,5,-6,-12,-20,56,-,4,18,-,2,30.74,-,30.48,-,0,-
31,42,30,19,1,-6,-11,39,-,4,9,-,0,30.51,-,30.27,-,0,-
